taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
5240;2016-12-15 23:45:00;900;2,5;10,75;2,45;bankkártya
1215;2016-12-12 07:15:00;240;0,4;5,0;3,0;bankkártya
3673;2016-12-16 16:30:00;2400;10,7;31,0;0,0;készpénz
5400;2016-12-16 08:45:00;300;0,0;5,25;2,0;bankkártya
1257;2016-12-03 18:45:00;360;0,3;5,0;0,0;készpénz
4666;2016-12-30 18:00:00;2400;18,2;46,75;10,15;bankkártya
5998;2016-12-16 07:15:00;1800;18,4;45,0;11,25;bankkártya
2538;2016-12-31 17:15:00;540;0,0;6,75;0,0;készpénz
6594;2016-12-17 12:00:00;153;0,47;4,5;1,0;bankkártya
7864;2016-12-03 19:45:00;780;2,4;10,5;2,0;bankkártya
400;2016-12-06 15:30:00;3120;10,9;31,75;7,93;bankkártya
